variable,coef,abs,odds_ratio
cat__AGENCIA_67,-0.033754272633157154,0.033754272633157154,0.9668090468923277
cat__AGENCIA_34,-0.03149724507865318,0.03149724507865318,0.9689936259512876
cat__AGENCIA_79,-0.031196256521979614,0.031196256521979614,0.9692853258411508
cat__AGENCIA_8,0.021848188657770676,0.021848188657770676,1.0220886080485008
cat__PRODUCTO_40,-0.020312051315863458,0.020312051315863458,0.9798928487399032
cat__REGION_5,-0.015699755449981208,0.015699755449981208,0.9844228432820554
cat__PRODUCTO_81,-0.015517060724006111,0.015517060724006111,0.9846027085733722
cat__AGENCIA_99,-0.013933825461112341,0.013933825461112341,0.9861628009722943
cat__AGENCIA_87,-0.012582500130993157,0.012582500130993157,0.9874963285567437
cat__REGION_4,-0.010286110115499411,0.010286110115499411,0.9897666109952633
cat__AGENCIA_77,-0.004240497051013675,0.004240497051013675,0.9957684811614284
cat__AGENCIA_36,-0.0015181666331049624,0.0015181666331049624,0.9984829851988932
cat__REGION_infrequent_sklearn,0.00023907866240056836,0.00023907866240056836,1.0002391072439816
cat__AGENCIA_infrequent_sklearn,0.00023907866240056836,0.00023907866240056836,1.0002391072439816
